Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Battle-related deaths (number of people),VC.BTL.DETH,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Yemen, Rep.",YEM,..,..,7593,3011,3144,4636,2628,6300,23351,2917,791,..
Battle-related deaths (number of people),VC.BTL.DETH,Zambia,ZMB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,,,
